2015-07-13 18:50:57 INFO  :51 - Program starting
2015-07-13 18:50:57 INFO  :56 - Opening stream to bank of israel
2015-07-13 18:50:57 INFO  :118 - Closing stream with bank of israel
2015-07-13 18:50:59 INFO  :168 - Successfully built GUI
2015-07-13 18:50:59 INFO  :67 - Next update in 10 minutes
2015-07-13 18:52:13 INFO  :51 - Program starting
2015-07-13 18:52:13 INFO  :56 - Opening stream to bank of israel
2015-07-13 18:52:13 INFO  :118 - Closing stream with bank of israel
2015-07-13 18:52:15 INFO  :168 - Successfully built GUI
2015-07-13 18:52:15 INFO  :67 - Next update in 10 minutes
2015-07-13 18:52:45 INFO  :51 - Program starting
2015-07-13 18:52:45 INFO  :56 - Opening stream to bank of israel
2015-07-13 18:52:45 INFO  :118 - Closing stream with bank of israel
2015-07-13 18:52:47 INFO  :168 - Successfully built GUI
2015-07-13 18:52:47 INFO  :67 - Next update in 10 minutes
2015-07-13 19:08:31 INFO  :51 - Program starting
2015-07-13 19:08:31 INFO  :60 - Opening stream to bank of israel
2015-07-13 19:08:32 INFO  :122 - Closing stream with bank of israel
2015-07-13 19:08:34 INFO  :168 - Successfully built GUI
2015-07-13 19:08:34 INFO  :187 - Next update in 10 minutes
2015-07-13 19:09:02 INFO  :51 - Program starting
2015-07-13 19:09:02 INFO  :60 - Opening stream to bank of israel
2015-07-13 19:09:02 INFO  :122 - Closing stream with bank of israel
2015-07-13 19:09:04 INFO  :168 - Successfully built GUI
2015-07-13 19:09:04 INFO  :187 - Next update in 10 minutes
2015-07-13 19:09:11 INFO  :189 - Table updated
2015-07-13 19:09:11 INFO  :187 - Next update in 10 minutes
2015-07-13 19:09:18 INFO  :189 - Table updated
2015-07-13 19:09:18 INFO  :187 - Next update in 10 minutes
2015-07-13 19:09:25 INFO  :189 - Table updated
2015-07-13 19:09:25 INFO  :187 - Next update in 10 minutes
2015-07-13 19:19:18 INFO  :51 - Program starting
2015-07-13 19:19:18 INFO  :60 - Opening stream to bank of israel
2015-07-13 19:19:18 INFO  :122 - Closing stream with bank of israel
